title,price,seller,item_id,ships_to_japan,scraped_at
1999 Pokemon Base Set: Choose Your Card! All Cards Available - 100% Authentic,3.99,evcards,v1|145273576132|444460969176,Yes,2026-05-05T20:40:06.477458
"500 Pokemon Card Lot + 50 Holo, Rares, Reverse Foils EX V - Gift Box Collection",49.99,shinyrectangles,v1|397041088632|0,Yes,2026-05-05T20:40:07.093684
"Pokemon Card Lot 100 TCG Cards + Ultra Rare, 10 Holos | VMAX GX EX VSTAR OR V!",12.82,rurap-9,v1|397480219788|0,Yes,2026-05-05T20:40:07.708741
Pokemon Card Lot 100 Official TCG Cards Ultra Rare Included EX GX V MEGA + HOLOS,19.75,shine1br,v1|151239684662|0,Yes,2026-05-05T20:40:08.394605
EX Pokémon Cards! Full Art Rare Mega Break XY Black and White Choose Your Card!,7.99,overstackedcards,v1|157250595322|458744596897,Yes,2026-05-05T20:40:09.585418
Pokemon 10 Card GUARANTEED 1 EX / GX / V / V max / Hyper rare / Primal NM/M,3.99,furret_inc,v1|233832485139|0,Yes,2026-05-05T20:40:10.629312
Pokemon Card Lot 100 OFFICIAL TCG Cards + Ultra Rare | VMAX GX EX VSTAR OR V!,19.95,shine1br,v1|153121169168|0,Yes,2026-05-05T20:40:11.293208
500+ Pokemon Card Bulk Lot | Free EX/V/VSTAR Rare + Holos | Makes a great gift!,29.99,thunderstone_tcg,v1|136526701572|0,Yes,2026-05-05T20:40:12.489412
Squirtle Wartortle Blastoise Pokemon Card! Holo/Reverse Holo EX Full Art Cards!,149.99,overstackedcards,v1|156788026056|459234359932,Yes,2026-05-05T20:40:13.240586
Pokemon Prismatic Evolutions: Choose Your Card! Reverse Holo/Holo EX Full Art NM,7.99,overstackedcards,v1|156750664346|458137732862,Yes,2026-05-05T20:40:13.964506
Vintage Pokemon Cards Old 1999 All WOTC 10-Pack! (x2) 1st Edition or Shadowless!,17.95,poke-trading_1,v1|156841011856|0,Yes,2026-05-05T20:40:15.210919
"Pokemon Card Lot 100 TCG Cards + Ultra Rare, 10 Holos | VMAX GX EX VSTAR OR V!",11.99,lanturn22,v1|116005699463|0,Yes,2026-05-05T20:40:15.838879
Pokemon TCG- Destined Rivals Holo/Reverse Holo/EX /Ultra Rare/Full Art,39.95,ec-cards-store,v1|397501269674|665900339358,Yes,2026-05-05T20:40:16.761013
Vintage Pokemon Cards 1999 WOTC Pack! M Charizard! Pikachu! Gengar! 1st Edition!,12.00,luckydragon9988,v1|175339983046|0,Yes,2026-05-05T20:40:17.358413
Charizard 1st edition  Gold Metal Pokemon Card Collectible,8.95,berz_2726,v1|197776661857|0,Yes,2026-05-05T20:40:17.900984
Pokemon 151 Cards! Holo/Reverse Holo Ex Illustration Ultra Double Rare Card!,1.49,overstackedcards,v1|156241664107|457227513138,Yes,2026-05-05T20:40:19.224402
1st Edition - Old Pokemon Cards - 100% Vintage Pack - ONLY WOTC,19.85,megans_meganium,v1|126224517846|0,Yes,2026-05-05T20:40:20.102551
1999 Pokemon Base Set: Choose Your Card! All Cards Available- FREE SHIPPING,349.99,overstackedcards,v1|156258363010|458056360200,Yes,2026-05-05T20:40:20.877632
Gastly Haunter Gengar Pokemon Card! Holo/Reverse Holo EX VMAX V GX Rare Cards!,79.99,overstackedcards,v1|156774759554|459101859636,Yes,2026-05-05T20:40:21.583908
Charizard Charmander Charmeleon Pokemon Card! Holo/Reverse Holo Rare EX Cards!,279.99,overstackedcards,v1|156780094465|459066440418,Yes,2026-05-05T20:40:22.746689
Pokémon Holo WOTC Cards Vintage Rare Authentic LP/NM - Pick Your Exact Card!,19.99,overstackedcards,v1|157794599150|459211672163,Yes,2026-05-05T20:40:23.571285
2023 Near Mint Pokemon Fidough AR 085/078 SV1S Scarlet ex Japanese,8.98,thunder_moo,v1|236567815396|0,Yes,2026-05-05T20:40:24.167823
Pokemon Cards! Fusion Strike - Holo/Reverse Holo UltraRare V VMAX Full Art Card,1.49,overstackedcards,v1|157010023447|458503938491,Yes,2026-05-05T20:40:25.332233
Pokemon Cards! Destined Rivals Holo/Reverse Holo EX Ultra Rare SIR Full Art Card,1.99,overstackedcards,v1|157077521788|458585815704,Yes,2026-05-05T20:40:26.164053
"Pokémon Scarlet & Violet-151 Choose Your Card! All Ex, Holo's, Full Art + in NM!",7.99,toolegitcollectables,v1|404838293831|674864099588,Yes,2026-05-05T20:40:27.127911
Pokemon 151 Singles - Grand Master Set Promos and More - Choose Your Card!,399.98,chinya.tcg,v1|177566133184|477548439883,Yes,2026-05-05T20:40:27.817530
"Pokemon VMAX - Choose Your Card - All Available, Ultra Rare, Full Art Holo TCG",4.99,evcards,v1|145302991518|444499562206,Yes,2026-05-05T20:40:28.563303
"Pokemon TCG, Special Illustration Rare - Choose Your Card, English ,Full Art,NM",5.99,ec-cards-store,v1|396394486927|665393771122,Yes,2026-05-05T20:40:29.912484
Pokemon Surging Sparks: Choose Your Card! Holos/EX/Full Arts! NM,1.49,overstackedcards,v1|156641391983|457997746992,Yes,2026-05-05T20:40:31.136054
Pokemon Trainer Gallery: Choose Your Card! Full Art Galarian Trainer Gallery SIR,14.99,overstackedcards,v1|156731105968|458407021885,Yes,2026-05-05T20:40:31.935438
Pokemon Paradox Rift - Choose Your Card! - Holo/Reverse Holo - NM,14.99,overstackedcards,v1|156323652674|458638519078,Yes,2026-05-05T20:40:32.726538
Sunflora Pokemon TCG Card 006/195,1.41,rarecollectorsguild,v1|116055442504|0,Yes,2026-05-05T20:40:33.402891
PSA CGC 10 ALL GEM MINT Graded Pokemon Card Mystery Slab Bag Vintage Modern,29.98,allywholesale,v1|156915321766|0,Yes,2026-05-05T20:40:33.971589
"Pokemon TCG - Choose Your Mini Set | Charizard, Eevee, Mew & More! | Near Mint",5.99,evcards,v1|146232904113|445109414633,Yes,2026-05-05T20:40:34.644169
Pokemon Card Lot 1000 OFFICIAL TCG Cards + 50 holo cards + bonus Good Gift CNY,64.99,playordraw,v1|335596595794|0,Yes,2026-05-05T20:40:35.790555
Pokemon Base Set 2 Cards! Holo Rare WOTC Vintage LP/NM Choose Your Card!,49.99,overstackedcards,v1|156960591379|458430378617,Yes,2026-05-05T20:40:36.591561
